probe_id,responder_mean,nonresponder_mean,standardized_difference
220353_at,60.316667,18.016667,3.16584
1564175_at,46.116667,18.391667,2.944248
231454_at,27.183333,6.341667,2.853722
1563621_at,46.066667,27.966667,2.632536
234312_s_at,820.633333,432.883333,2.563784
1570138_at,44.033333,19.058333,2.514736
204511_at,123.783333,72.575,2.512869
226577_at,419.716667,326.258333,2.497922
1557833_at,26.833333,7.716667,2.477922
208547_at,23.916667,6.233333,2.433538
219851_at,3.516667,16.525,-2.412908
216047_x_at,39.166667,14.75,2.384055
239810_at,26.7,5.208333,2.375088
233456_at,38.766667,20.966667,2.339575
236303_at,45.866667,21.583333,2.331792
223942_x_at,437.05,251.1,2.306807
242359_at,38.75,11.983333,2.282902
229979_x_at,48.5,13.391667,2.264368
239621_at,11.4,1.725,2.253803
212362_at,77.983333,53.25,2.245958
