probe_id,responder_mean,nonresponder_mean,standardized_difference
202830_PM_s_at,6.444831,6.058972,0.921682
230360_PM_at,6.515497,5.539498,0.903118
202772_PM_at,7.404944,7.042692,0.884096
239494_PM_at,4.912333,5.390391,-0.860711
223895_PM_s_at,7.689297,6.88351,0.846653
200670_PM_at,8.454372,9.044024,-0.844586
231451_PM_s_at,4.925469,4.551879,0.841252
205903_PM_s_at,6.570397,7.190956,-0.827187
1559672_PM_a_at,3.93461,3.73375,0.822081
200884_PM_at,10.044197,9.013523,0.821363
231396_PM_s_at,4.587841,5.069929,-0.814795
236253_PM_at,3.631103,3.828482,-0.813882
229499_PM_at,4.674177,4.082587,0.813506
219410_PM_at,4.884197,5.436578,-0.812776
221565_PM_s_at,5.4835,5.820816,-0.812359
1562378_PM_s_at,7.520833,7.179208,0.8108
1566955_PM_at,4.714326,4.326054,0.807861
241943_PM_at,5.433503,5.230083,0.805327
223634_PM_at,5.552187,5.18459,0.803386
203634_PM_s_at,7.493679,6.965351,0.801628
